 Abstract,Authors,DOI,Database,Descriptor(s),Entry Date,Fulltext URL,ID,ISSN,Issue number,Journal,Language,Publication Country,Publication year,Source,Title,Type,Unnamed: 18,Unnamed: 19,Volume number
"Background: Negative attitudes towards vaccines and an uncertainty or unwillingness to receive vaccinations are major barriers to managing the COVID-19 pandemic in the long-term. We estimate predictors of four domains of negative attitudes towards vaccines and identify groups most at risk of uncertainty and unwillingness to receive a COVID-19 vaccine in a large sample of UK adults. Methods: Data were cross-sectional and from 32,361 adults in the UCL COVID-19 Social Study. Ordinary least squares regression analyses examined the impact of socio-demographic and COVID-19 related factors on four types of negative vaccine attitudes: mistrust of vaccine benefit, worries about unforeseen effects, concerns about commercial profiteering, and preference for natural immunity. Multinomial regression examined the impact of socio-demographic and COVID-19 related factors, negative vaccine attitudes, and prior vaccine behaviour on uncertainty and unwillingness to be vaccinated for COVID-19. Findings: 16% of respondents displayed high levels of mistrust about vaccines across one or more domains. Distrustful attitudes towards vaccination were higher amongst individuals from ethnic minority backgrounds, with lower levels of education, lower annual income, poor knowledge of COVID-19, and poor compliance with government COVID-19 guidelines. Overall, 14% of respondents reported unwillingness to receive a vaccine for COVID-19, whilst 23% were unsure. The largest predictors of both COVID-19 vaccine uncertainty and refusal were low-income groups (&amp;lt; 16,000, a year), having not received a flu vaccine last year, poor adherence to COVID-19 government guidelines, female gender, and living with children. Amongst vaccine attitudes, intermediate to high levels of mistrust of vaccine benefit and concerns about future unforeseen side effects were the most important determinants of both uncertainty and unwillingness to vaccinate against COVID-19. Interpretation: Negative attitudes towards vaccines are a major public health concern in the UK. General mistrust in vaccines and concerns about future side effects in particular will be barriers to achieving population immunity to COVID-19 through vaccination. Public health messaging should be tailored to address these concerns and specifically to women, ethnic minorities, and people with lower levels of education and incomes. Funding: The Nuffield Foundation [WEL/FR-000022583], the MARCH Mental Health Network funded by the Cross-Disciplinary Mental Health Network Plus initiative supported by UK Research and Innovation [ES/S002588/1], and the Wellcome Trust [221400/Z/20/Z and 205407/Z/16/Z].","Paul, E.; Steptoe, A.; Fancourt, D.",,MEDLINE,,20210510.0,https://doi.org/10.1016/j.lanepe.2020.100012,covidwho-1217591,,,The Lancet Regional Health. Europe,en,,2021.0,"The Lancet Regional Health. Europe; 1:100012, 2021.",Attitudes towards vaccines and intention to vaccinate against COVID-19: Implications for public health communications,article,,,1
"OBJECTIVES: Vaccine hesitancy is a growing concern and threat to public health. This research will begin to examine the relative influence of relevant psychological, social, and situational factors on intent to engage with a hypothetical COVID-19 vaccine among key workers and non-key workers. DESIGN: Cross-sectional. METHODS: The study utilized a sample of UK adults who completed the 1-month follow-up of The COVID-19 Psychological Wellbeing Study during April/May 2020 and indicated having not been previously diagnosed with COVID-19 (key workers n?=?584; not key workers n?=?1,021). These groups were compared in relation to their intentions to vaccinate, perceived risk of infection, and symptom severity. Binary logistic regression was used to examine predictors of vaccine hesitancy. RESULTS: Overall, 74.2% of the sample (76.2% key workers, 73.1% non-key workers) indicated they would accept a COVID-19 vaccine in future. Key workers (in particular health and social care workers) had a higher perceived risk of becoming infected in the coming months. For key workers, being female and perceiving oneself as having relatively low infection risk in the next 6?months was associated with increased likelihood of vaccine hesitancy. For non-key workers, however, being aged 25-54, having a low or average income and not knowing someone diagnosed with COVID-19 were associated with hesitancy. CONCLUSIONS: The proportion of individuals willing to accept a vaccine is encouraging but there is much room for improvement. Given the unique predictors of vaccine hesitancy in each group, public health campaigns may benefit from targeted messaging.","Butter, Sarah; McGlinchey, Emily; Berry, Emma; Armour, Cherie",,MEDLINE,,20210507.0,https://dx.doi.org/10.1111/bjhp.12530,covidwho-1216737,2044-8287,,Br. j. health psychol,en,GB,2021.0,Br J Health Psychol;2021 May 05. ,"Psychological, social, and situational factors associated with COVID-19 vaccination intentions: A study of UK key workers and non-key workers.",article,,,
"BACKGROUND: Vaccination is crucial to limit the pandemic spread of SARS-CoV-2/COVID-19. Therefore, besides the development and supply of vaccines, it is essential that sufficient individuals are willing to get vaccinated, but concerning proportions of populations worldwide show vaccine hesitancy. This makes it important to determine factors that are associated with vaccine acceptance. METHODS: 1779 adults of a non-probability convenience sample in Germany were assessed with an online survey in a cross-sectional survey period from 1st to 11th January 2021 (a few days after the beginning of vaccinations in Germany). RESULTS: 64.5% of the sample stated that they absolutely would accept the vaccination, 13.8% would rather accept it, 10.4% were undecided, and 5.2% would rather not and 6.0% absolutely not get vaccinated. COVID-19-related anxiety, and fears of infection and health-related consequences correlated significantly positively with vaccine acceptance (all p?&lt;?.001). In contrast, social (p?=?.006) and economic fears (p?&lt;?.001) showed significant negative associations with vaccination willingness. The broader constructs of unspecific anxiety and depressive symptoms were not significantly associated with vaccine acceptance. Vaccine acceptance differed between users/non-users of social media and official websites to gain information about the pandemic (p?&lt;?.001). CONCLUSIONS: COVID-19-related anxiety and health-related fears were associated with higher vaccine acceptance, whereas the fear of social and economic consequences showed the contrary direction. These findings highlight the need to differentiate between several types of fears and anxiety to predict their influence on vaccine acceptance, and provide important information and an essential base for future studies and interventions.","Bendau, Antonia; Plag, Jens; Petzold, Moritz Bruno; Str?hle, Andreas",,MEDLINE,,20210507.0,https://dx.doi.org/10.1016/j.intimp.2021.107724,covidwho-1216348,1878-1705,,Int Immunopharmacol,en,NL,2021.0,"Int Immunopharmacol;97: 107724, 2021 Apr 27. ",COVID-19 vaccine hesitancy and related fears and anxiety.,article,,,97
"BACKGROUND AND AIMS: The success of the COVID-19 vaccination program is dependent on people&#039;s knowledge and attitude regarding the vaccination program. Higher vaccine acceptance can be ensured by strengthening the facilitators and limiting the barriers being observed among the general population. MATERIAL AND METHODS: Indexed study is a cross-sectional web-based survey using a pre-validated questionnaire to assess knowledge, barriers and facilitators of COVID-19 vaccine and vaccination programme administered on adults across India using a Google online survey platform. RESULTS: A total of 1294 responses (age: 38.02?¡À?13.34 years) were collected. Most of the participants had limited knowledge regarding the eligibility of vaccines in vulnerable population groups such as people with allergies (57.89%) and immune-compromised patients (62.98%), pregnant and lactating women (41.89%) and patients with chronic illness (34.78%). Older participants (&gt;45 years) were more willing to take the COVID-19 vaccine (p?&lt;?0.001) as they believed the vaccine is not harmful and considered it as societal responsibility. Younger participants (&lt;45 years) and those residing in urban settings raised concerns on the availability of the vaccine and authenticity of the vaccine (p?&lt;?0.001). CONCLUSION: There is a scope for improvement in people&#039;s knowledge regarding COVID-19 vaccine and the vaccination programme by addressing the barriers and facilitators which can improve the participants&#039; turnover at vaccination centres.","Kumari, Archana; Ranjan, Piyush; Chopra, Sakshi; Kaur, Divjyot; Kaur, Tanveer; Upadhyay, Ashish Datt; Isaac, Joshua Abraham; Kasiraj, Rhytha; Prakash, Bindu; Kumar, Parmeshwar; Dwivedi, Sada Nand; Vikram, Naval K",,MEDLINE,"COVID-19 Vaccines/therapeutic use; COVID-19/prevention &amp;amp; control; Communication Barriers; Health Knowledge, Attitudes, Practice; Health Literacy; Adolescent; Adult; Aged; COVID-19/epidemiology; COVID-19/psychology; Cross-Sectional Studies; Female; Health Literacy/organization &amp;amp; administration; Health Literacy/statistics &amp;amp; numerical data; Humans; India/epidemiology; Male; Middle Aged; Patient Acceptance of Health Care/psychology; Patient Acceptance of Health Care/statistics &amp;amp; numerical data; Pregnancy; Preventive Health Services/organization &amp;amp; administration; SARS-CoV-2/immunology; Surveys and Questionnaires; Vaccination/psychology; Vaccination/statistics &amp;amp; numerical data; Young Adult",20210506.0,https://dx.doi.org/10.1016/j.dsx.2021.04.015,covidwho-1213148,1878-0334,3,Diabetes Metab Syndr,en,NL,2021.0,"Diabetes Metab Syndr;15(3): 987-992, 2021. ","Knowledge, barriers and facilitators regarding COVID-19 vaccine and vaccination programme among the general population: A cross-sectional survey from one thousand two hundred and forty-nine participants.",article,,,15
"BACKGROUND: The psychosocial impact of previous infectious disease outbreaks in adults has been well documented, however, there is limited information on the mental health impact of the COVID-19 pandemic on adults and children in the United Arab Emirate (UAE) community. The aim of this study was to explore anxiety levels among adults and children in the UAE and to identify potential risk and protective factors for well-being during the COVID-19 pandemic. METHODS: Using a web-based cross-sectional survey we collected data from 2200 self-selected, assessed volunteers and their children. Demographic information, knowledge and beliefs about COVID-19, generalized anxiety disorder (GAD) using the (GAD-7) scale, emotional problems in children using the strengths and difficulties questionnaire (SDQ), worry and fear about COVID-19, coping mechanisms and general health information were collected. Descriptive analysis was carried out to summarize demographic and participant characteristics, Chi-square analysis to explore associations between categorical variables and anxiety levels and multivariable binary logistic regression analysis to determine predictors of anxiety levels in adults and emotional problems in children. RESULTS: The overall prevalence of GAD in the general population was 71% with younger people (59.8%) and females (51.7%) reporting highest levels of anxiety. Parents who were teachers reported the highest percentage of emotional problems in children (26.7%). Adjusted multivariable logistic regression for GAD-7 scores showed that being female, high levels of worry associated with COVID-19, intention to take the COVID-19 vaccine and smoking were associated with higher levels of anxiety. Adjusted multivariable logistic regression for SDQ showed that higher emotional problems were reported for children in lower and higher secondary education, and parents who had severe anxiety were seven times more likely to report emotional problems in their children. CONCLUSIONS: This study reports the psychological impact of COVID-19 among adults and children in the UAE and highlights the significant association between parental and child anxiety. Findings suggest the urgency for policy makers to develop effective screening and coping strategies for parents and especially children.","Saddik, Basema; Hussein, Amal; Albanna, Ammar; Elbarazi, Iffat; Al-Shujairi, Arwa; Temsah, Mohamad-Hani; Saheb Sharif-Askari, Fatemeh; Stip, Emmanuel; Hamid, Qutayba; Halwani, Rabih",,MEDLINE,COVID-19; Pandemics; Adult; COVID-19 Vaccines; Child; Cross-Sectional Studies; Female; Humans; SARS-CoV-2; United Arab Emirates/epidemiology,20210506.0,https://dx.doi.org/10.1186/s12888-021-03213-2,covidwho-1215102,1471-244X,1,BMC Psychiatry,en,GB,2021.0,"BMC Psychiatry;21(1): 224, 2021 05 03. ",The psychological impact of the COVID-19 pandemic on adults and children in the United Arab Emirates: a nationwide cross-sectional study.,article,,,21
"BACKGROUND: The rapid spread of COVID-19 and the time needed to develop a vaccine or definitive treatment for the disease have caused great anxiety in communities, especially in pregnant women whose high levels of distress may have short and/or long-term maternal and fetal consequence. This study was conducted to investigate the relationship between anxiety induced by COVID-19 and perceived social support in Iranian pregnant women. METHODS: This online cross-sectional study was conducted on 801 pregnant women from all over Iran in 2020. The data were collected using a demographic questionnaire, the multidimensional scale of perceived social support, and the coronavirus disease anxiety scale. A standard multiple linear regression model was used to identify the association between perceived social support and anxiety, controlling for possible confounding variables. Partial r was used as an estimate of effect size. RESULTS: The mean anxiety score was 10.7 ¡À 8.0, in which its level was moderate in 122 (15.2%; 95% confidence interval (CI): 12.8-17.9%)) of the participants, and severe in 28 (3.4%; 95% CI: 2.3-5.0%) of them. The mean score of perceived social support was 48.2 ¡À 7.6. 6.9% (95% CI: 5.2-8.8%) and 93.1% (95% CI: 91.2-94.8%) of the participants reported mild and moderate levels of perceived social support, respectively. The results of the multiple linear model showed a significant negative correlation between perceived social support and anxiety levels in a way that for every 10 units increase in the perceived social support score, the anxiety level of pregnant women was decreased by 0.8 units (B= -0.08, t= -2.08, p = 0.037), which was a small effect size (partial r = -0.07). CONCLUSION: There was a small significant relationship between the perceived social support and COVID-19 anxiety. Further studies are required to identify associated factors of anxiety level during COVID-19 in pregnant women.","Behmard, Vahideh; Bahri, Narjes; Mohammadzadeh, Fatemeh; Noghabi, Ali Delshad; Bahri, Nasrin",,MEDLINE,,20210506.0,https://dx.doi.org/10.1080/0167482X.2021.1918671,covidwho-1214032,1743-8942,,J Psychosom Obstet Gynaecol,en,GB,2021.0,"J Psychosom Obstet Gynaecol;: 1-8, 2021 May 04. ",Relationships between anxiety induced by COVID-19 and perceived social support among Iranian pregnant women.,article,,,
"BACKGROUND: The control of the Coronavirus Disease 2019 (COVID-19) pandemic may be dependent on widespread receipt of an effective vaccine. It is important to understand patient health-related behaviors and perceptions to guide public health vaccination strategies. OBJECTIVES: To examine perceptions of COVID-19 and vaccination beliefs, and identify predictors of intention to receive the COVID-19 vaccine in the US. METHODS: A cross-sectional, web-based survey guided by the Health Belief Model was conducted using a web-based Qualtrics survey panel of US adults. The main outcome was the intention to receive the COVID-19 vaccine if offered. Additional measures included: demographics, perceptions of COVID-19 severity, risk and susceptibility, views of a potential COVID-19 vaccine, virus and vaccine information sources, vaccine beliefs and behaviors, and seasonal flu vaccine history. RESULTS: A total of 1047 complete responses were included. Females had lower odds of intending to receive the COVID-19 vaccine than males (AOR?=?0.54, 95% CI: 0.36-0.80). Those with a two-year degree/some college had lower odds of intending to receive the COVID-19 vaccine compared to those with a high school degree/GED (AOR?=?0.59, 95% CI: 0.36-0.97). Respondents who perceived the severity of the virus to be higher, perceived a greater COVID-19 vaccine benefit, and perceived greater general vaccine benefits had higher odds of intending to receive a COVID-19 vaccine (AOR?=?1.44, 95% CI: 1.09-1.91; AOR?=?2.82, 95% CI: 2.24-3.56; AOR?=?1.77, 95% CI 1.41-2.21, respectively). CONCLUSIONS: In this study, intention to receive the COVID-19 vaccine varied across demographics, perceived virus severity, COVID-19 vaccine and general vaccine beliefs. Successful implementation of a COVID-19 immunization strategy by healthcare providers and public health officials will need to incorporate diverse COVID-19 vaccination education strategies tailored to patients&#039; health beliefs.","Coe, Antoinette B; Elliott, Marissa H; Gatewood, Sharon B S; Goode, Jean-Venable R; Moczygemba, Leticia R",,MEDLINE,,20210506.0,https://dx.doi.org/10.1016/j.sapharm.2021.04.023,covidwho-1213511,1934-8150,,Res. soc. adm. pharm,en,US,2021.0,Res Social Adm Pharm;2021 May 01. ,Perceptions and predictors of intention to receive the COVID-19 vaccine.,article,,,
"Background The time-concentrated nature of the first wave of the COVID-19 epidemic in England in March and April 2020 provides a natural experiment to measure changes in antibody positivity at the population level before onset of the second wave and initiation of the vaccination programme. Methods Three cross-sectional national surveys with non-overlapping random samples of the population in England undertaken between late June and September 2020 (REACT-2 study). 365,104 adults completed questionnaires and self-administered lateral flow immunoassay (LFIA) tests for IgG against SARS-CoV-2. Findings Overall, 17,576 people had detectable antibodies, a prevalence of 4.9% (95% confidence intervals 4.9, 5.0) when adjusted for test characteristics and weighted to the adult population of England. The prevalence declined from 6.0% (5.8, 6.1), to 4.8% (4.7, 5.0) and 4.4% (4.3, 4.5), over the three rounds of the study a difference of -26.5% (-29.0, -23.8). The highest prevalence and smallest overall decline in positivity was in the youngest age group (18-24 years) at -14.9% (-21.6, -8.1), and lowest prevalence and largest decline in the oldest group (&amp;gt;74 years) at -39.0% (-50.8, -27.2). The decline from June to September 2020 was largest in those who did not report a history of COVID-19 at -64.0% (-75.6, -52.3), compared to -22.3% (-27.0, -17.7) in those with SARS-CoV-2 infection confirmed on PCR. Interpretation A large proportion of the population remained susceptible to SARS-CoV-2 infection in England based on naturally acquired immunity from the first wave. Widespread vaccination is needed to confer immunity and control the epidemic at population level. Funding This work was funded by the Department of Health and Social Care in England.","Ward, Helen, Cooke, Graham S.; Atchison, Christina, Whitaker, Matthew, Elliott, Joshua, Moshe, Maya, Brown, Jonathan C.; Flower, Barnaby, Daunt, Anna, Ainslie, Kylie, Ashby, Deborah, Donnelly, Christl A.; Riley, Steven, Darzi, Ara, Barclay, Wendy, Elliott, Paul",,ScienceDirect,,20210506.0,https://doi.org/10.1016/j.lanepe.2021.100098,covidwho-1213413,,,The Lancet Regional Health - Europe,en,,2021.0,"The Lancet Regional Health - Europe; 4:100098, 2021.","Prevalence of antibody positivity to SARS-CoV-2 following the first peak of infection in England: Serial cross-sectional studies of 365,000 adults",article,,,4
"Background: Public adherence to preventive measures, including flu vaccination, can lower complications from the disease and ultimately conserve health care resources. This study investigated the factors associated with older adults&#039; attitudes toward receiving the flu and the new COVID-19 vaccines, and the efficacy of an educational handout. Methods: A cross sectional study targeting older adults (¡Ý 65 years) presenting to the Senior Health clinic at MetroHealth Medical Center, Cleveland, for their appointments, during the flu vaccination campaign from October 2020 to February 2021. Targeted participants (n=400) filled an anonymous questionnaire that included their attitudes toward receiving both vaccines and the reasons for their decisions. Those who declined or were uncertain about getting the flu vaccine were given an educational handout summarizing the CDC recommendations for flu vaccination during COVID-19 pandemic. They were called in 4 weeks to inquire if they had reconsidered receiving it. Results: 72% of patients received or were planning to receive the flu shot. This is concordant with data from previous season. Among the identified factors for not receiving the vaccine, 90% never get their flu shot, 84% lacked knowledge of its necessity, while 68% think that the current preventive measures will protect them against both viruses. Only 6% attributed their hesitancy to co-existing COVID-19 virus. At 4 weeks follow up call, 20% reconsidered taking the flu vaccine. Moreover, only 13% of all participants considered receiving the COVID-19 vaccine when it becomes available. Whereas, the majority (75%) were uncertain about getting it. Among them, 77% chose to watchfully wait, others had concerns of side effects (11%) or preferred to discuss it with their doctors (12%). Of those against the vaccine, 90% were dubious about its production. Conclusion: The majority of patients queried were knowledgeable about the importance of the flu vaccination. However, data showed concerning hesitancy about receiving the novel COVID-19 vaccine. The COVID-19 pandemic does not seem to influence their decisions to receive both vaccines. Overall, our intervention was 8% effective in changing patients&#039; choices to get the flu vaccine. More comprehensive health education strategies are needed to target this particularly vulnerable population.","Tarabay, R.; Al Aridi, R.; Corrigan, M.",,EMBASE,,20210506.0,https://doi.org/10.1111/jgs.17115,covidwho-1214912,,SUPPL 1,Journal of the American Geriatrics Society,en,,2021.0,"Journal of the American Geriatrics Society; 69(SUPPL 1):S50, 2021.",Knowledge and attitude of older adults toward getting the seasonal flu and the novel COVID-19 vaccines: A cross-sectional study,article,,,69
"BACKGROUND: Patients with Parkinson&#039;s disease (PD) are at higher risk of vaccine-preventable respiratory infections. However, advanced, homebound individuals may have less access to vaccinations. In light of COVID-19, understanding barriers to vaccination in PD may inform strategies to increase vaccine uptake. OBJECTIVE: To identify influenza and pneumococcal vaccination rates, including barriers and facilitators to vaccination, among homebound and ambulatory individuals with PD and related disorders. METHODS: Cross-sectional US-based study among individuals with PD, ageda??&gt;a??65 years, stratified as homebound or ambulatory. Participants completed semi-structured interviews on vaccination rates and barriers, and healthcare utilization. RESULTS: Among 143 participants, 9.8% had missed all influenza vaccinations in the past 5 years, and 32.2% lacked any pneumococcal vaccination, with no between-group differences. Homebound participants (na??=a??41) reported difficulty traveling to clinic (pa??&lt;a??0.01) as a vaccination barrier, and despite similar outpatient visit frequencies, had more frequent emergency department visits (31.7% vs. 9.8%, pa??&lt;a??0.01) and hospitalizations (14.6% vs. 2.9%, pa??=a??0.03). Vaccine hesitancy was reported in 35% of participants, vaccine refusal in 19%, and 13.3% reported unvaccinated household members, with no between-group differences. Nearly 13% thought providers recommended against vaccines for PD patients, and 31.5% were unsure of vaccine recommendations in PD. CONCLUSION: Among a sample of homebound and ambulatory people with PD, many lack age-appropriate immunizations despite ample healthcare utilization. Many participants were unsure whether healthcare providers recommend vaccinations for people with PD. In light of COVID-19, neurologist reinforcement that vaccinations are indicated, safe, and recommended may be beneficial.","Phanhdone, Tiffany; Drummond, Patrick; Meisel, Talia; Friede, Naomi; Di Rocco, Alessandro; Chodosh, Joshua; Fleisher, Jori",,MEDLINE,,20210505.0,https://dx.doi.org/10.3233/JPD-202497,covidwho-1211799,1877-718X,,Journal of Parkinson&#039;s disease (Online),en,NL,2021.0,J Parkinsons Dis;2021 Apr 30. ,Barriers to Vaccination Among People with Parkinson&#039;s Disease and Implications for COVID-19.,article,,,
"OBJECTIVE: To examine the associations between factors based on the Social Cognitive Theory (SCT) and behavioral intention of free and self-paid (600 RMB or 91 USD) COVID-19 vaccination of 80% effectiveness and rare mild side effects among doctors and nurses in China. DESIGN: Cross-sectional study. SETTING: Public hospitals. PARTICIPANTS: 362 doctors and 1702 nurses in major departments of five hospitals of three Chinese provinces. METHODS: An anonymous online survey was conducted from October to November 2020, facilitated by hospital administrators through online WeChat/QQ working groups. Data on outcome expectations, self-efficacy, norms, and COVID-19-related work experiences were collected. Multivariate logistic regression models were used for data analysis. RESULTS: The logistic regression analysis showed that physical (e.g., protective effect of vaccination) and self-evaluative outcome expectations (e.g., anticipated regret), self-efficacy, norms (e.g., descriptive norm, subjective norm, professional norm, and moral norm), and job satisfaction were significantly and positively associated with the free and self-paid COVID-19 vaccination intention outcomes among doctors and nurses, adjusted for background variables. Doctors who had engaged in COVID-19-related work reported higher self-paid vaccination intention. CONCLUSIONS: Health promotion is needed to improve the uptake of COVID-19 vaccination among healthcare workers. Such interventions may consider modifying the identified factors of vaccination intention, including strengthening perceived efficacy, positive feelings about vaccination, the need to avoid future regret, self-efficacy, and social norms. Future studies should examine the actual behavior patterns of COVID-19 vaccination and testing the efficacy of promotion intervention through randomized controlled studies.","She, Rui; Chen, Xi; Li, Liping; Li, Lijuan; Huang, Zepeng; Lau, Joseph T F",,MEDLINE,,20210505.0,https://dx.doi.org/10.1017/ice.2021.201,covidwho-1211246,1559-6834,,Infect Control Hosp Epidemiol,en,US,2021.0,"Infect Control Hosp Epidemiol;: 1-25, 2021 May 03. ",Factors associated with behavioral intention of free and self-paid COVID-19 vaccination based on the social cognitive theory among nurses and doctors in China.,article,,,
"SARS-CoV-2 vaccine rollout has coincided with the spread of variants of concern. We investigated if single dose vaccination, with or without prior infection, confers cross protective immunity to variants. We analyzed T and B cell responses after first dose vaccination with the Pfizer/BioNTech mRNA vaccine BNT162b2 in healthcare workers (HCW) followed longitudinally, with or without prior Wuhan-Hu-1 SARS-CoV-2 infection. After one dose, individuals with prior infection showed enhanced T cell immunity, antibody secreting memory B cell response to spike and neutralizing antibodies effective against B.1.1.7 and B.1.351. By comparison, HCW receiving one vaccine dose without prior infection showed reduced immunity against variants. B.1.1.7 and B.1.351 spike mutations resulted in increased, abrogated or unchanged T cell responses depending on human leukocyte antigen (HLA) polymorphisms. Single dose vaccination with BNT162b2 in the context of prior infection with a heterologous variant substantially enhances neutralizing antibody responses against variants.","Reynolds, Catherine J; Pade, Corinna; Gibbons, Joseph M; Butler, David K; Otter, Ashley D; Menacho, Katia; Fontana, Marianna; Smit, Angelique; Sackville-West, Jane E; Cutino-Moguel, Teresa; Maini, Mala K; Chain, Benjamin; Noursadeghi, Mahdad; Brooks, Tim; Semper, Amanda; Manisty, Charlotte; Treibel, Thomas A; Moon, James C; Valdes, Ana M; McKnight, ¨¢ine; Altmann, Daniel M; Boyton, Rosemary",,MEDLINE,,20210504.0,https://dx.doi.org/10.1126/science.abh1282,covidwho-1209815,1095-9203,,Science (Wash.),en,US,2021.0,Science;2021 Apr 30. ,Prior SARS-CoV-2 infection rescues B and T cell responses to variants after first vaccine dose.,article,,,
"There are concerns regarding the side effects of the new coronavirus disease 2019 (COVID-19) mRNA-1273 vaccine among healthcare workers (HCWs) in the United States. The objective of the study was to investigate the side effects of the mRNA-1273 vaccine with detailed review of organ systems. A randomized, cross-sectional study using an independent online survey questionnaire was conducted to collect responses from HCWs. Of all participants, 87.8% (1116/1271) provided complete responses. Of them, 38.7% (432/1116) received the mRNA-1273 vaccine, among which, 89.35% were females; 425 of these 432 mRNA-1273 vaccine recipients (98.34%) reported at least one or more symptoms. The results were classified based on the frequency of symptoms reported postvaccination. Of these, 254/432 (58.8%) were able to continue their daily routine activities. 108/432 (25%) temporarily had trouble to perform daily activities, 120/432 (27.78%) required transient time off from work, 17/432 (3.94%) required help from an outpatient provider, 1/432 (0.23%) required help from emergency department, and none of them were hospitalized. Despite the wide array of self-reported symptoms, 97.02% of the HCWs did not intend to skip the second dose of vaccine. Among all the symptoms reported, localized pain, generalized weakness, headache, myalgia, chills, fever, nausea, joint pains, sweating, localized swelling at the injection site, dizziness, itching, rash, decreased appetite, muscle spasm, decreased sleep quality, and brain fogging were the most commonly reported symptoms (in descending order of occurrence). Most of the symptoms reported were nonlife threatening. Despite the wide array of self-reported symptoms, there appears to be a higher acceptance for this vaccine.","Kadali, Renuka Ananth Kalyan; Janagama, Ravali; Peruru, Sharanya; Gajula, Viswanath; Madathala, Rajasekhar R; Chennaiahgari, Nikhita; Malayala, Srikrishna V",,MEDLINE,COVID-19 Vaccines/adverse effects; COVID-19/prevention &amp;amp; control; Health Personnel/psychology; Injection Site Reaction/pathology; Activities of Daily Living; Adult; Aged; Anaphylaxis/pathology; COVID-19/immunology; COVID-19 Vaccines/immunology; Cross-Sectional Studies; Female; Fever; Humans; Male; Middle Aged; SARS-CoV-2/immunology; Self Report; Sick Leave/statistics &amp;amp; numerical data; Surveys and Questionnaires; Young Adult,20210504.0,https://dx.doi.org/10.1002/jmv.26996,covidwho-1209630,1096-9071,7,J Med Virol,en,US,2021.0,"J Med Virol;93(7): 4420-4429, 2021 Jul. ","Non-life-threatening adverse effects with COVID-19 mRNA-1273 vaccine: A randomized, cross-sectional study on healthcare workers with detailed self-reported symptoms.",article,,,93
"BACKGROUND: Influenza is a major public health issue, with the primary preventive measure being an annual influenza vaccination. Nevertheless, vaccination coverage among the at-risk population is low. Our understanding of the behaviour of the influenza virus during the SARS-CoV-2 coronavirus pandemic is limited, meaning influenza vaccination is still recommended for individuals at risk for severe complications due to influenza infection. The aim of the study is to determine the intention to vaccinate against seasonal influenza among the at-risk population in the 2020-21 campaign during the SARS-CoV-2 pandemic and to analyse the factors which influence such intention. METHODS: Cross-sectional telephone survey of adults (aged over 18) with risk factors in central Catalonia where the need for the Seasonal Influenza Vaccine (SIV) was recommended. RESULTS: A total of 434 participants responded to the survey, 43.3% of whom intended to be vaccinated against influenza for the 2020-2021 influenza season, 40.8% had no intention to be vaccinated and 15.9% were uncertain or did not express their opinion. The intention to get vaccinated against influenza is associated with having dependents, the individual&#039;s perception of the risk of being infected with influenza and the perceived risk of transmission to dependents. It is also associated with age, whether the individual had received influenza vaccine the previous season or any other season before. The best predictors of the intention to vaccinate are the individual&#039;s perception of the risk of catching influenza and whether the individual had been vaccinated in the previous season. CONCLUSIONS: Intention to vaccinate can be a good predictor of individual behaviour in relation to vaccination. During the current SARS-CoV-2 pandemic many individuals are hesitant to influenza vaccination. In order to improve influenza vaccination coverage in people included in risk groups, it is necessary to promote educational actions, especially among those who express doubts.","Bonet-Esteve, Anna; Mu?oz-Miralles, Raquel; Gonzalez-Claramunt, Carla; Rufas, Ana M; Cruz, Xavier Pelegrin; Vidal-Alaball, Josep",,MEDLINE,"COVID-19/epidemiology; Influenza Vaccines/therapeutic use; Influenza, Human; Intention; Mass Vaccination; Cross-Sectional Studies; Female; Health Knowledge, Attitudes, Practice; Humans; Influenza, Human/epidemiology; Influenza, Human/prevention &amp;amp; control; Male; Mass Vaccination/methods; Mass Vaccination/psychology; Mass Vaccination/statistics &amp;amp; numerical data; Middle Aged; SARS-CoV-2; Social Perception; Spain/epidemiology; Vaccination Coverage/statistics &amp;amp; numerical data; Vaccination Refusal/statistics &amp;amp; numerical data",20210504.0,https://dx.doi.org/10.1186/s12875-021-01434-8,covidwho-1209389,1471-2296,1,BMC Fam Pract,en,GB,2021.0,"BMC Fam Pract;22(1): 84, 2021 05 01. ",Influenza vaccination during the coronavirus pandemic: intention to vaccinate among the at-risk population in the Central Catalonia Health Region (VAGCOVID).,article,,,22
