 Abstract,Authors,DOI,Database,Descriptor(s),Entry Date,Fulltext URL,ID,ISSN,Issue number,Journal,Language,Publication Country,Publication year,Source,Title,Type,Unnamed: 18,Unnamed: 19,Volume number,paper_type,cross_type,long_type
"The Covid-19 pandemic has exposed the difficulty of the US public health system to respond effectively to vulnerable subpopulations, causing disproportionate rates of morbidity and mortality. New York Haredi-Orthodox Jewish communities represent a group that have been heavily impacted by Covid-19. Little research has examined their experience or perceptions toward Covid-19 and vaccines. We conducted a cross-sectional, observational study to explore the experience of Covid-19 among Haredim. Paper surveys were self-administered between December 2020 and January 2021 in Haredi neighborhood pediatricians&#039; offices in Brooklyn, New York. Of 102 respondents, 43% reported either a positive SARS-CoV-2 viral or antibody test. Participants trusted their physicians, Orthodox medical organizations, and rabbinic leaders for medical information. Knowledge of Covid-19 transmission and risk was good (69% answered &amp;#8805; 4/6 questions correctly). Only 12% of respondents would accept a Covid-19 vaccine, 41% were undecided and 47% were strongly hesitant. Independent predictors of strong vaccine hesitancy included believing natural infection to be better than vaccination for developing immunity (adjusted odds ratio [aOR] 4.28; 95% confidence interval [CI] 1.23-14.86), agreement that prior infection provides a path toward resuming communal life (aOR 4.10; 95% CI 1.22-13.77), and pandemic-related loss of trust in physicians (aOR 5.01; 95% CI 1.05-23.96). The primary disseminators of health information for self-protective religious communities should be stakeholders who understand these groups&#039; unique health needs. In communities with significant Covid-19 experience, vaccination messaging may need to be tailored toward protecting infection-na?ve individuals and boosting natural immunity against emerging variants.","Carmody, Ellie R; Zander, Devon; Klein, Elizabeth J; Mulligan, Mark J; Caplan, Arthur L",,MEDLINE,,20210519,https://dx.doi.org/10.1007/s10900-021-00995-0,covidwho-1230268,1573-3610,,J. community health,en,NL,2021,J Community Health;2021 May 17. ,Knowledge and Attitudes Toward Covid-19 and Vaccines Among a New York Haredi-Orthodox Jewish Community.,article,,,,offline,1,0
"BACKGROUND: Healthcare workers are encouraged annually to get vaccinated against influenza. This year in view of COVID-19 pandemic, attitudes of HCWs towards vaccination are particularly important. A cross-sectional study was completed to understand how to best encourage and facilitate the vaccination of HCWs based on the previous years&#039; findings. METHODS: An online survey was disseminated to all hospital staff via electronic channels. The clinical audit sphinx software was used for data collection and analysis. RESULTS: The total number of responses was n = 728, almost double the rate from 2018 (N = 393). A total of 78% (N = 551) of participants were vaccinated last year. A total of 94% (N = 677) of participants reported their intention to be vaccinated this year. The main barriers listed were being unable to find time (32%, N = 36), side effects (30%, N = 33) and thinking that it does not work (21%, N = 23). The most popular suggestions for how to increase uptake were more mobile immunisation clinics (72%, N = 517) and more information on the vaccine (50%, N = 360). A total of 82% of participants (N = 590) agreed that healthcare workers should be vaccinated, with 56% (N = 405) agreeing that it should be mandatory. Of the participants who were not vaccinated last year (N = 159), 40% (N = 63) agreed that COVID-19 had changed their opinion on influenza immunisation with a further 11% (N = 18) strongly agreeing. DISCUSSION: In light of the increasing number of survey participants, more staff were interested in flu vaccination this year than ever before. The COVID-19 pandemic has had some influence on staff&#039;s likelihood to be vaccinated. Feasibility of immunisation and education posed the largest barriers to HCW vaccination.","Kearns, Emma C; Callanan, Ian; O&#039;Reilly, Ann; Purcell, Aisling; Tuohy, Niamh; Bulfin, Siobhan; Smyth, Angela; Bairead, Emer; Fitzgerald, Susan; Feeney, Eoin; Waqas, Sarmad",,MEDLINE,,20210518,https://dx.doi.org/10.1007/s11845-021-02636-w,covidwho-1227915,1863-4362,,Ir. j. med. sci,en,IE,2021,Ir J Med Sci;2021 May 13. ,Changing attitudes towards annual influenza vaccination amongst staff in a Tertiary Care Irish University Hospital.,article,,,,online,1,0
"Despite the fact that more than a year has passed since the WHO declared the pandemic, there is still no effectivetreatment of COVID-19. According to current knowledge, the only method to stop the virus from spreading is prophylactic vaccination of the population. However, to achieve herd immunity, 60¡§C72% of the population needs to be vaccinated, which is a significant challenge for current healthcare systems. As it has already been proven, having an effective vaccine is not the same as using it. Public acceptance is essential here. The study aimed to assess the changes in the attitudes of online respondents toward vaccination against COVID-19 over time. In the research, a questionnaire designed by the author of the study was used and it was distributed via the Internet in two stages. The questionnaire included a section assessing a sociodemographic status as well as the questions, designed by the author, evaluating the willingness of the respondents to get vaccinated and their main concerns associated with it. The first stage covered the period before the commencement of the population vaccination programme in Poland, i.e., 14¡§C27 December 2020. Then, the survey was redistributed 2 months after the vaccination programme was started, i.e., 1¡§C19 March 2021. Participation in the study was fully anonymous, voluntary and there was a possibility to opt out at any stage of the research. A total of 2048 respondents were surveyed and 26 persons refused to be involved in the research. A total number of 2022 responses were analysed. Stage I of the research involved 22.9% of the respondents (463 persons). The questions were answered by 1559 persons (72.9%) after the survey was redistributed. Among the participants of stage II of the study, 422 (27.1%) persons have already been vaccinated against COVID-19. A comparison of the responses that were collected from both stages of the study showed a slight increase in the willingness to get vaccinated against COVID-19 over time. It turned out that women, residents of large cities, people with a higher level of education and healthcare workers showed a more favourable attitude toward vaccination. According to the results of the survey, chronic diseases do not have a significant impact on the attitude toward vaccinations (p = 0.155). As the social vaccination promotion campaign continued, a slight increase in the willingness to get vaccinated was observed. According to the survey, women, residents of large cities and those with higher education demonstrated more favourable attitudes toward getting vaccinated against COVID-19. It should be stressed that despite the passage of time and the increasing experience with the new types of vaccines against COVID-19, the percentage of people who are afraid of the complications after the vaccination has not decreased significantly and the concern related to the ineffectiveness of vaccination has dramatically increased. This demonstrates the limited effectiveness of the current information system regarding passing the knowledge on of the safety and efficiency of vaccination and it indicates a necessity to modernise it as soon as possible.","Babicki, Mateusz, Mastalerz-Migas, Agnieszka",,MDPI,,20210517,https://doi.org/10.3390/vaccines9050503,covidwho-1227078,,5,Vaccines,en,,2021,"Vaccines; 9(5):503, 2021.",Attitudes toward Vaccination against COVID-19 in Poland. A Longitudinal Study Performed before and Two Months after the Commencement of the Population Vaccination Programme in Poland,article,,,9,online,0,1
"Background: In order to achieve long-term optimum public health response, herd immunity is required, and this may happen if general populations willingly offered the COVID- 19 vaccine. The current study aimed to explore the attitudes toward COVID-19 vaccine, and to outline the common barriers interfering with vaccination among Egyptian population. A cross-sectional study has been carried out among 1282 participants utilizing a self-administered questionnaire. Results: Negative attitude was associated with low trust in the capability of the country instructions to combat COVID-19 (OR=5.97, CI95%: 3.37-10.57), unsatisfactory knowledge (OR=15.73 CI95%: 9.54-25.92), being worried about adverse effects (OR=2.97, CI95%: 1.96-4.52), being not committed to protection measures like PPE, HH and social isolation (OR=2.16, CI95%: 1.42-3.25), not working (OR=3.04, CI95%: 2.11-4.36), low education (OR=10.12, CI95%: 7.11-14.40), don&#039;t know deep experienced trials of vaccines (OR=1.76, CI95%: 1.45-2.13), being female (OR=3.09, CI95%: 2.17-4.39), increase age (OR=1.03, CI95%: 1.01-1.06) and depression symptoms (OR=1.64, CI95%: 1.12-2.41). Conclusion: The main barriers of negative attitude toward vaccine include worrying about vaccine side effects, poor knowledge regarding COVID-19 and mistrusting the country&#039;s ability to combat it.","Kasemy, Z.; Shreif, H.; Tantawy, A.; Barakat, A.; Sharif, A.",,Web of Science,,20210517,,covidwho-1226124,,110,Medical Science,en,,2021,"Medical Science; 25(110):1010-1019, 2021.",Barriers to managing COVID-19 pandemic: Attitude towards vaccination and implications for public health,article,,,25,online and offline,1,0
"Background: Negative attitudes towards vaccines and an uncertainty or unwillingness to receive vaccinations are major barriers to managing the COVID-19 pandemic in the long-term. We estimate predictors of four domains of negative attitudes towards vaccines and identify groups most at risk of uncertainty and unwillingness to receive a COVID-19 vaccine in a large sample of UK adults. Methods: Data were cross-sectional and from 32,361 adults in the UCL COVID-19 Social Study. Ordinary least squares regression analyses examined the impact of socio-demographic and COVID-19 related factors on four types of negative vaccine attitudes: mistrust of vaccine benefit, worries about unforeseen effects, concerns about commercial profiteering, and preference for natural immunity. Multinomial regression examined the impact of socio-demographic and COVID-19 related factors, negative vaccine attitudes, and prior vaccine behaviour on uncertainty and unwillingness to be vaccinated for COVID-19. Findings: 16% of respondents displayed high levels of mistrust about vaccines across one or more domains. Distrustful attitudes towards vaccination were higher amongst individuals from ethnic minority backgrounds, with lower levels of education, lower annual income, poor knowledge of COVID-19, and poor compliance with government COVID-19 guidelines. Overall, 14% of respondents reported unwillingness to receive a vaccine for COVID-19, whilst 23% were unsure. The largest predictors of both COVID-19 vaccine uncertainty and refusal were low-income groups (&amp;lt; 16,000, a year), having not received a flu vaccine last year, poor adherence to COVID-19 government guidelines, female gender, and living with children. Amongst vaccine attitudes, intermediate to high levels of mistrust of vaccine benefit and concerns about future unforeseen side effects were the most important determinants of both uncertainty and unwillingness to vaccinate against COVID-19. Interpretation: Negative attitudes towards vaccines are a major public health concern in the UK. General mistrust in vaccines and concerns about future side effects in particular will be barriers to achieving population immunity to COVID-19 through vaccination. Public health messaging should be tailored to address these concerns and specifically to women, ethnic minorities, and people with lower levels of education and incomes. Funding: The Nuffield Foundation [WEL/FR-000022583], the MARCH Mental Health Network funded by the Cross-Disciplinary Mental Health Network Plus initiative supported by UK Research and Innovation [ES/S002588/1], and the Wellcome Trust [221400/Z/20/Z and 205407/Z/16/Z].","Paul, E.; Steptoe, A.; Fancourt, D.",,MEDLINE,,20210510,https://doi.org/10.1016/j.lanepe.2020.100012,covidwho-1217591,,,The Lancet Regional Health. Europe,en,,2021,"The Lancet Regional Health. Europe; 1:100012, 2021.",Attitudes towards vaccines and intention to vaccinate against COVID-19: Implications for public health communications,article,,,1,online,1,0
"Background: Public adherence to preventive measures, including flu vaccination, can lower complications from the disease and ultimately conserve health care resources. This study investigated the factors associated with older adults&#039; attitudes toward receiving the flu and the new COVID-19 vaccines, and the efficacy of an educational handout. Methods: A cross sectional study targeting older adults (?Y 65 years) presenting to the Senior Health clinic at MetroHealth Medical Center, Cleveland, for their appointments, during the flu vaccination campaign from October 2020 to February 2021. Targeted participants (n=400) filled an anonymous questionnaire that included their attitudes toward receiving both vaccines and the reasons for their decisions. Those who declined or were uncertain about getting the flu vaccine were given an educational handout summarizing the CDC recommendations for flu vaccination during COVID-19 pandemic. They were called in 4 weeks to inquire if they had reconsidered receiving it. Results: 72% of patients received or were planning to receive the flu shot. This is concordant with data from previous season. Among the identified factors for not receiving the vaccine, 90% never get their flu shot, 84% lacked knowledge of its necessity, while 68% think that the current preventive measures will protect them against both viruses. Only 6% attributed their hesitancy to co-existing COVID-19 virus. At 4 weeks follow up call, 20% reconsidered taking the flu vaccine. Moreover, only 13% of all participants considered receiving the COVID-19 vaccine when it becomes available. Whereas, the majority (75%) were uncertain about getting it. Among them, 77% chose to watchfully wait, others had concerns of side effects (11%) or preferred to discuss it with their doctors (12%). Of those against the vaccine, 90% were dubious about its production. Conclusion: The majority of patients queried were knowledgeable about the importance of the flu vaccination. However, data showed concerning hesitancy about receiving the novel COVID-19 vaccine. The COVID-19 pandemic does not seem to influence their decisions to receive both vaccines. Overall, our intervention was 8% effective in changing patients&#039; choices to get the flu vaccine. More comprehensive health education strategies are needed to target this particularly vulnerable population.","Tarabay, R.; Al Aridi, R.; Corrigan, M.",,EMBASE,,20210506,https://doi.org/10.1111/jgs.17115,covidwho-1214912,,SUPPL 1,Journal of the American Geriatrics Society,en,,2021,"Journal of the American Geriatrics Society; 69(SUPPL 1):S50, 2021.",Knowledge and attitude of older adults toward getting the seasonal flu and the novel COVID-19 vaccines: A cross-sectional study,article,,,69,offline,1,0
"Vaccine hesitancy is a major threat to the success of COVID-19 vaccination programs. The present cross-sectional online survey of adult Poles (n = 1020) expressing a willingness to receive the COVID-19 vaccine was conducted between February and March 2021 and aimed to assess (i) the general trust in different types of vaccines, (ii) the level of acceptance of the COVID-19 vaccines already in use in Poland (BNT162b2 by BioNTech/Pfizer, mRNA-1273 by Moderna and AZD1222 by Oxford/AstraZeneca) as well as eight vaccines approved outside European Union (EU) or in advanced stages of clinical trials, (iii) level of fear of vaccination against COVID-19, and (iv) main sources of information on COVID-19 vaccination. Among all major vaccine technology, the highest level of trust was observed for the mRNA platform, with a considerable number of surveyed (&amp;gt;20%) not aware of the existence of vaccines produced using the traditional approach (inactivated and live attenuated vaccines). The age of participants was the main factor differentiating the level of trust in a particular vaccine type. Both BNT162b and mRNA-1273 received a high level of acceptance, contrary to AZD1222. From eight vaccines unauthorized in the EU at the moment of study, the CVnCoV (mRNA;CureVac) was met with the highest level of trust, followed by Ad26.COV2.S (vector;Janssen/Johnson&amp;Johnson) and NVX-CoV2373 (protein;Novavax). Sputnik V (vector;Gamaleya Research Institute) was decidedly the least trusted vaccine. The median level of fear (measured by the 10-point Likert-type scale) in the studied group was 4.0, mostly related to the risk of serious allergic reactions, other severe adverse events and unknown long-term effects of vaccination. Female, individuals with a lower level of education and those not seeking any information on the COVID-19 vaccines revealed a higher fear of vaccination. Experts&#039; materials were the major source of information on COVID-19 vaccines in the studied group. The study shows the level of trust in COVID-19 vaccines can vary much across the producers while the mRNA vaccines are received with a high level of acceptance. It also emphasizes the need for effective and continuous science communication when fighting the pandemic as it may be an ideal time to increase the general awareness of vaccines.","Rzymski, P.; Zeyland, J.; Poniedzialek, B.; Malecka, I.; Wysocki, J.",,MEDLINE,,20210504,https://10.3390/vaccines9040382,covidwho-1209722,,4,Vaccines (Basel),en,,2021,"Vaccines (Basel); 9(4):14, 2021.",The Perception and Attitudes toward COVID-19 Vaccines: A Cross-Sectional Study in Poland,article,,,9,online,1,0
"Background: Global efforts toward the development and deployment of a vaccine for COVID-19 are rapidly advancing. To achieve herd immunity, widespread administration of vaccines is required, which necessitates significant cooperation from the general public. As such, it is crucial that governments and public health agencies understand public sentiments toward vaccines, which can help guide educational campaigns and other targeted policy interventions. Objective: The aim of this study was to develop and apply an artificial intelligence¡§Cbased approach to analyze public sentiments on social media in the United Kingdom and the United States toward COVID-19 vaccines to better understand the public attitude and concerns regarding COVID-19 vaccines. Methods: Over 300,000 social media posts related to COVID-19 vaccines were extracted, including 23,571 Facebook posts from the United Kingdom and 144,864 from the United States, along with 40,268 tweets from the United Kingdom and 98,385 from the United States from March 1 to November 22, 2020. We used natural language processing and deep learning¡§Cbased techniques to predict average sentiments, sentiment trends, and topics of discussion. These factors were analyzed longitudinally and geospatially, and manual reading of randomly selected posts on points of interest helped identify underlying themes and validated insights from the analysis. Results: Overall averaged positive, negative, and neutral sentiments were at 58%, 22%, and 17% in the United Kingdom, compared to 56%, 24%, and 18% in the United States, respectively. Public optimism over vaccine development, effectiveness, and trials as well as concerns over their safety, economic viability, and corporation control were identified. We compared our findings to those of nationwide surveys in both countries and found them to correlate broadly. Conclusions: Artificial intelligence¡§Cenabled social media analysis should be considered for adoption by institutions and governments alongside surveys and other conventional methods of assessing public attitude. Such analyses could enable real-time assessment, at scale, of public confidence and trust in COVID-19 vaccines, help address the concerns of vaccine sceptics, and help develop more effective policies and communication strategies to maximize uptake.","Hussain, Amir, Tahir, Ahsen, Hussain, Zain, Sheikh, Zakariya, Gogate, Mandar, Dashtipour, Kia, Azhar, Ali, Sheikh, Aziz",,ProQuest Central,,20210504,http://10.2196/26627,covidwho-1208472,,4,Journal of Medical Internet Research,en,,2021,"Journal of Medical Internet Research; 23(4), 2021.",Artificial Intelligence-Enabled Analysis of Public Attitudes on Facebook and Twitter Toward COVID-19 Vaccines in the United Kingdom and the United States: Observational Study,article,,,23,data mining,0,1
"Introduction: Corona virus COVID-19 pandemic affected entire world, with the India being highly affected. Vaccine is best possible solution to control the pandemic. Various literature review reveals that vaccine is efficacious and safe for all age groups. Many Corona vaccines are currently in developing stage only 2 are available for use in India. Large majority of the population must accept the vaccination and take the vaccine at earliest. In view of this researcher would like to study the knowledge and attitude of general population regarding COVID-19 vaccine so as the vaccination will become acceptable to all population. Methods: The cross-sectional design was used. The study was conducted through online mode during acute phase of disease in January 2021.Data was collected through validated questionnaire. Total 120 individual were included in the study. Results: The result revealed that 2/3 of respondent were having adequate knowledge and having positive about vaccine. Overall acceptance was found 85% among the general population. Respondents that more trust worthy reported information was given by governmental authorities. In initial phase before vaccine entered into the system, people were in confusion state. Through level of knowledge is moderately good, still some classes of people are having lower than reasonable knowledge and attitude towards vaccine. ? 2021, Universitatea de Vest Vasile Goldis din Arad. All rights reserved.","Joshi, S. G.; Jabade, M.",,Scopus,,20210504,,covidwho-1208065,,3,Annals of the Romanian Society for Cell Biology,en,,2021,"Annals of the Romanian Society for Cell Biology; 25(3):7238-7241, 2021.","Knowledge and attitude about covid-19 vaccines among general population residing in Pune City, India",article,,,25,online,1,0
"Introduction: adherence to preventive measures to curb the spread of COVID-19 depends on the people??s knowledge, attitudes and practices (KAP) towards COVID-19. Living in rural areas may be associated with poor KAP towards COVID-19. This study compares the KAP regarding COVID-19 of people living in rural and urban areas in Cameroon. Methods: this was a comparative cross-sectional study, using data obtained through an online survey of 1,345 Cameroonians amongst which were 828 urban and 517 rural dwellers. The survey questionnaire consisted of; demographic characteristics, 10 questions on Knowledge, 4 on attitudes and 3 on practices. Data was analyzed using SPSS version 25. Results: overall, about two-thirds of participants had correct knowledge of COVID-19. The mean knowledge score for urban dwellers was about twice that of rural dwellers (15.77 ?¨¤ 5.25 vs 8.86 ?¨¤ 7.24 respectively, p &lt; 0.001). Furthermore, when compared to people who live in urban areas, rural inhabitants are less optimistic about COVID-19 pandemic in Cameroon (OR = 3.43, P&lt;0.001), less likely to accept a trial vaccine for COVID-19 (OR = 1.14, P&lt;0.05), less likely to avoid going to crowded places (OR = 7.42, P&lt;0.01), less likely to wear face mask outdoor (OR = 11.84, P&lt;0,001), and less likely to practice hand hygiene (OR = 1.13, P&lt;0.05). Conclusion: our findings suggest a big gap in COVID-19 related knowledge, attitudes, and practices between rural and urban inhabitants in Cameroon. This highlights the need for increase sensitization of Cameroonians, especially rural dwellers on COVID-19 related knowledge, attitudes and appropriate practices.","Njingu, Atabong Emmanuel; Jabbossung, Fombo Enjeh; Ndip-Agbor, Tambe Emilia; Dedino, Ankwatia Guisilla",,MEDLINE,"COVID-19/prevention &amp;amp; control; Health Knowledge, Attitudes, Practice; Rural Population/statistics &amp;amp; numerical data; Urban Population/statistics &amp;amp; numerical data; Adult; Cameroon; Cross-Sectional Studies; Female; Humans; Male; Middle Aged; Young Adult",20210430,https://dx.doi.org/10.11604/pamj.2021.38.234.25964,covidwho-1206457,1937-8688,,Pan Afr Med J,en,UG,2021,"Pan Afr Med J;38: 234, 2021. ","Comparing knowledge, attitudes and practices regarding COVID-19 amongst Cameroonians living in urban versus rural areas.",article,,,38,online,1,0
"Background: Vaccination is an important preventative measure against the coronavirus disease 19 (COVID-19) pandemic. To implement vaccination and immunization programs effectively, it is essential to investigate public attitudes toward COVID-19 vaccines. This study examined the attitudes of Chinese college students toward COVID-19 vaccines and their associated factors. Methods: A cross-sectional study was conducted in college students nationwide from December 27, 2020 to January 18, 2021. Attitudes toward COVID-19 vaccines and acceptance of future vaccination programs were assessed. Results: Totally, 2,881 college students participated in this survey; of them, 76.3% (95% CI: 74.8% - 77.9%) were willing to accept a COVID-19 vaccine in the future. Multiple logistic analysis revealed that students living in urban (OR=1.409, 95% CI: 1.152 - 1.724, p=0.001) and those studying health-related courses (OR=1.581, 95% CI: 1.291 - 1.935, p&lt;0.001) were more likely to have a positive attitude toward COVID-19 vaccines. In addition, those who were worried about being infected with COVID-19 (very much vs no, OR=1.690, 95% CI: 1.212-2.356, p=0.002), heard previously about COVID-19 vaccines (OR=1.659, 95% CI: 1.268-2.170, p&lt;0.001), believed that vaccines are safe (Yes vs No, OR=3.570, 95% CI: 1.825-6.980), thought that vaccines can protect people from being infected with COVID-19 (Yes vs No, OR=1.957, 95% CI: 1.286-2.979, p=0.002), and had encouraged their family and friends to have a vaccine (Yes vs No, OR=17.745, 95% CI: 12.271-25.660, p&lt;0.001) had higher acceptance of COVID-19 vaccination. Conclusions: A high rate of acceptance of COVID-19 vaccines was found among Chinese college students. However, vaccine uptake may be reduced by concerns about vaccine safety and efficacy. Alleviating these concerns and enhancing public confidence in vaccines are crucial for future immunization programs against the COVID-19 pandemic.","Bai, Wei; Cai, Hong; Liu, Shou; Liu, Huanzhong; Qi, Han; Chen, Xu; Liu, Rui; Cheung, Teris; Su, Zhaohui; Ng, Chee H; Xiang, Yu-Tao",,MEDLINE,Attitude to Health; COVID-19 Vaccines/administration &amp;amp; dosage; COVID-19/prevention &amp;amp; control; SARS-CoV-2/immunology; Students/psychology; Universities; China; Cross-Sectional Studies; Female; Humans; Male; Young Adult,20210430,https://dx.doi.org/10.7150/ijbs.58835,covidwho-1206428,1449-2288,6,Int J Biol Sci,en,AU,2021,"Int J Biol Sci;17(6): 1469-1475, 2021. ",Attitudes toward COVID-19 vaccines in Chinese college students.,article,,,17,online,1,0
"Vaccines are effective interventions that can reduce the high burden of diseases globally. However, public vaccine hesitancy is a pressing problem for public health authorities. With the availability of COVID-19 vaccines, little information is available on the public acceptability and attitudes towards the COVID-19 vaccines in Jordan. This study aimed to investigate the acceptability of COVID-19 vaccines and its predictors in addition to the attitudes towards these vaccines among public in Jordan. An online, cross-sectional, and self-administered questionnaire was instrumentalized to survey adult participants from Jordan on the acceptability of COVID-19 vaccines. Logistic regression analysis was used to find the predictors of COVID-19 vaccines&#039; acceptability. A total of 3,100 participants completed the survey. The public acceptability of COVID-19 vaccines was fairly low (37.4%) in Jordan. Males (OR = 2.488, 95CI% = 1.834-3.375, p &lt; .001) and those who took the seasonal influenza vaccine (OR = 2.036, 95CI% = 1.306-3.174, p = .002) were more likely to accept COVID-19 vaccines. Similarly, participants who believed that vaccines are generally safe (OR = 9.258, 95CI% = 6.020-14.237, p &lt; .001) and those who were willing to pay for vaccines (OR = 19.223, 95CI% = 13.665-27.042, p &lt; .001), once available, were more likely to accept the COVID-19 vaccines. However, those above 35 years old (OR = 0.376, 95CI% = 0.233-0.607, p &lt; .001) and employed participants (OR = 0.542, 95CI% = 0.405-0.725, p &lt; .001) were less likely to accept the COVID-19 vaccines. Moreover, participants who believed that there was a conspiracy behind COVID-19 (OR = 0.502, 95CI% = 0.356-0.709, p &lt; .001) and those who do not trust any source of information on COVID-19 vaccines (OR = 0.271, 95CI% = 0.183-0.400, p &lt; .001), were less likely to have acceptance towards them. The most trusted sources of information on COVID-19 vaccines were healthcare providers. Systematic interventions are required by public health authorities to reduce the levels of vaccines&#039; hesitancy and improve their acceptance. We believe these results and specifically the low rate of acceptability is alarming to Jordanian health authorities and should stir further studies on the root causes and the need of awareness campaigns. These interventions should take the form of reviving the trust in national health authorities and structured awareness campaigns that offer transparent information about the safety and efficacy of the vaccines and the technology that was utilized in their production.","El-Elimat, Tamam; AbuAlSamen, Mahmoud M; Almomani, Basima A; Al-Sawalha, Nour A; Alali, Feras Q",,MEDLINE,"Attitude; COVID-19 Vaccines/administration &amp;amp; dosage; COVID-19/prevention &amp;amp; control; Vaccination/psychology; Adolescent; Adult; COVID-19/virology; Cross-Sectional Studies; Female; Humans; Jordan; Male; Odds Ratio; SARS-CoV-2/isolation &amp;amp; purification; Statistics, Nonparametric; Surveys and Questionnaires; Vaccination/statistics &amp;amp; numerical data; Vaccination Refusal/statistics &amp;amp; numerical data; Young Adult",20210427,https://dx.doi.org/10.1371/journal.pone.0250555,covidwho-1199978,1932-6203,4,PLoS One,en,US,2021,"PLoS One;16(4): e0250555, 2021. ",Acceptance and attitudes toward COVID-19 vaccines: A cross-sectional study from Jordan.,article,,,16,online,1,0
